Name	Probability	Cycle	Input_1	Input_2	Input_3	Input_4	Input_5	Output
Test49	0.283153658	5	0 1 1 0 0	1 1 0 1 0	1 1 0 1 0	0 0 1 0 1	1 0 0 0 1	1 1 0 0 0
Test50	0.758884533	5	1 0 1 0 0	0 0 1 1 1	0 1 1 0 1	1 0 0 0 1	0 0 1 0 1	0 1 0 1 0
Test51	0.715709416	5	0 1 0 1 1	0 0 0 0 1	0 0 0 1 1	1 1 0 0 1	1 0 0 0 0	0 0 0 0 0
Test52	0.559682354	5	0 0 0 1 1	0 0 0 1 0	0 0 0 1 0	1 0 0 0 0	0 1 1 0 1	1 1 1 1 0
Test53	0.647497588	5	0 0 0 0 0	1 1 1 0 1	1 0 1 0 0	1 1 1 1 1	1 0 1 0 1	0 0 0 1 1
Test54	0.082714564	5	0 0 0 0 1	0 0 0 1 0	1 0 0 1 1	1 0 0 1 0	0 0 1 0 0	0 0 1 1 0
Test55	0.757302273	5	1 0 1 0 0	0 1 0 0 1	1 0 1 0 0	0 0 0 0 1	0 1 0 0 0	0 0 0 0 0
Test56	0.236051923	5	0 1 0 1 0	0 1 1 1 0	1 1 0 0 1	0 0 1 1 0	0 1 1 1 1	1 0 1 0 0
Test57	0.593781102	5	0 1 1 0 1	1 1 0 1 0	0 0 0 0 1	1 0 1 1 0	1 0 0 1 1	1 0 0 1 1
Test58	0.515920877	5	0 1 0 0 0	0 1 0 1 1	1 1 1 1 0	1 0 1 1 0	0 1 1 0 1	0 0 1 1 0
Test59	0.280763031	5	1 0 1 1 0	0 1 1 0 1	0 1 0 0 0	1 1 1 1 0	1 0 1 0 1	1 1 0 0 0
Test60	0.564347752	5	0 1 0 1 0	1 0 0 1 0	0 0 1 0 1	0 1 1 0 1	1 0 1 1 1	0 0 1 1 1
Test61	0.244310116	5	1 0 1 0 1	0 0 1 0 0	0 0 0 0 1	0 0 0 1 1	0 1 1 0 0	1 1 1 1 1
Test62	0.326844752	5	0 1 1 1 1	1 0 0 1 0	1 1 0 0 1	0 1 0 1 1	1 1 1 0 1	1 0 0 1 0
Test63	0.707803277	5	1 0 1 1 0	1 1 0 0 1	0 1 1 1 1	0 1 1 1 1	1 1 0 0 0	1 0 1 1 1
Test64	0.803347428	5	0 1 0 0 1	1 0 0 1 1	1 1 1 1 0	1 1 1 1 0	1 1 0 1 1	0 0 0 0 1
Test65	0.501701053	5	0 0 0 1 0	1 0 1 0 0	0 1 1 1 1	0 1 1 0 1	1 0 1 1 1	0 0 0 1 1
Test66	0.881899265	5	0 0 1 1 0	0 1 1 1 0	0 1 0 1 0	0 1 1 1 0	1 1 1 0 1	1 0 0 0 1
Test67	0.735513451	5	1 0 1 1 0	1 0 0 0 0	0 0 1 1 1	1 1 0 1 1	1 0 1 1 1	0 1 1 0 1
Test68	0.787186574	5	1 1 0 0 1	1 1 1 1 1	0 1 1 1 0	0 0 1 0 0	0 0 0 0 0	0 1 1 0 0
Test69	0.143671946	5	1 1 1 0 0	1 1 1 0 0	0 0 0 1 0	0 1 1 0 0	1 0 1 0 1	1 1 0 1 1
Test70	0.123985063	5	0 1 0 0 0	1 0 1 0 1	1 0 1 1 1	1 1 1 1 1	1 0 1 0 0	0 0 0 0 1
Test71	0.648218646	5	0 1 1 0 1	0 1 0 1 0	1 1 0 0 0	0 1 0 1 1	0 0 0 1 1	1 0 1 1 1
Test72	0.319347746	5	1 1 0 0 0	1 0 0 0 0	1 1 0 0 0	0 1 0 0 0	1 0 1 1 0	0 1 1 1 0
Test73	0.40166291	5	1 1 1 0 1	1 1 1 0 1	1 1 0 1 0	1 0 0 0 0	1 0 0 0 0	1 1 0 1 0
Test74	0.836373981	5	1 1 1 0 0	0 0 1 1 0	0 0 0 0 0	0 0 1 1 0	1 0 0 1 0	0 1 1 1 0
Test75	0.447721305	5	1 0 1 1 1	1 1 1 1 1	0 0 0 1 1	1 0 1 1 0	1 1 1 0 1	0 0 0 0 0
Test76	0.680855343	5	0 0 0 0 1	0 0 1 0 0	1 0 0 0 1	1 0 1 0 1	0 1 0 1 1	0 1 0 1 0
Test77	0.797836537	5	1 0 0 0 0	1 1 1 1 0	1 1 1 0 1	0 1 1 1 0	0 1 0 1 0	1 0 1 1 1
Test78	0.466820784	5	0 1 1 0 1	0 0 0 1 0	0 0 0 1 1	0 0 1 0 1	1 0 1 1 1	1 1 1 1 0
Test79	0.526275425	5	1 0 0 0 0	0 1 1 1 1	0 1 0 0 1	1 0 1 1 0	0 1 0 1 0	0 1 0 1 0
Test80	0.14115474	5	1 1 1 0 1	0 1 1 0 1	0 1 0 1 1	0 1 0 1 0	1 0 1 1 0	0 0 1 1 1
Test81	0.391902716	5	1 0 1 1 1	1 0 0 1 1	1 1 0 1 0	0 0 1 0 0	0 1 1 0 1	1 0 1 1 1
Test82	0.132737874	5	1 0 1 0 0	0 0 0 1 1	1 1 1 0 0	0 0 1 0 1	0 0 0 0 1	0 1 1 1 1
Test83	0.056042712	5	0 1 1 1 0	1 0 1 1 0	0 1 1 0 1	1 0 0 1 1	1 1 1 0 1	1 1 0 1 1
Test84	0.6736874	5	1 1 0 0 0	1 1 0 1 0	0 0 0 0 0	0 0 1 0 1	0 1 0 1 1	0 1 1 0 0
Test85	0.945375506	5	0 0 1 1 0	0 0 1 1 0	0 1 0 1 1	0 0 0 1 0	1 0 0 1 0	1 1 0 1 1
Test86	0.047684917	5	1 1 1 1 0	1 1 1 1 0	0 1 0 1 1	0 1 0 1 1	0 0 0 1 0	0 0 0 1 0
Test87	0.483244091	5	0 1 0 0 0	0 1 0 1 1	0 1 0 0 0	0 1 1 1 1	1 0 0 0 1	1 0 1 0 1
Test88	0.039670339	5	0 0 0 0 1	0 1 0 0 0	0 1 1 1 1	1 0 0 1 1	1 1 1 0 1	0 1 0 0 0
Test89	0.608010373	5	0 1 1 1 1	1 0 0 0 0	1 1 1 0 0	0 0 1 1 1	0 1 1 1 1	0 1 0 1 1
Test90	0.549078215	5	1 0 0 1 1	0 0 1 1 0	0 1 0 0 0	0 0 0 1 1	0 1 1 0 0	1 0 0 1 0
Test91	0.58108845	5	0 1 0 1 1	0 1 1 1 1	1 1 0 0 0	0 1 0 0 1	1 1 1 1 0	0 1 0 1 1
Test92	0.695795012	5	1 1 0 1 0	0 0 0 1 1	1 0 1 1 1	1 1 0 1 1	0 1 1 0 1	1 1 0 0 0
Test93	0.246140604	5	0 0 0 1 0	0 0 1 0 1	0 0 1 0 0	0 0 1 1 1	0 0 0 0 0	0 0 1 0 0
Test94	0.585122175	5	1 0 1 0 1	1 1 1 1 1	1 0 0 1 0	0 0 1 1 1	0 0 1 0 0	1 1 0 1 1
Test95	0.259555948	5	0 0 0 0 0	1 1 1 1 1	0 0 0 1 0	1 1 1 0 1	1 0 1 1 1	1 0 1 1 1
Test96	0.843840295	5	0 0 0 0 1	1 1 0 1 1	0 1 1 1 1	1 1 0 1 0	1 0 1 1 1	1 1 0 0 0
Test97	0.381944633	5	1 1 1 0 0	1 0 1 1 1	0 0 1 0 0	0 1 0 0 1	0 0 0 1 1	0 0 1 0 1
Test98	0.364538342	5	1 1 1 0 1	1 1 1 1 1	0 1 1 1 0	1 1 0 0 0	0 1 1 1 0	1 1 0 1 0
Test99	0.108017499	5	0 1 0 1 1	0 0 1 1 1	1 0 0 1 0	1 1 1 1 1	1 1 0 1 0	1 1 0 1 1
Test100	0.660245835	5	1 0 1 0 0	0 1 1 0 1	0 1 1 0 0	1 0 1 1 0	1 0 0 0 1	1 0 0 1 0
Test101	0.566679914	5	1 0 0 1 1	0 1 1 1 0	1 1 0 0 0	0 0 1 1 1	1 0 0 1 0	1 0 0 0 0
Test102	0.228701446	5	1 0 0 1 0	0 0 1 0 0	0 1 1 0 1	1 1 1 1 1	0 0 1 1 1	0 0 0 1 1
Test103	0.490495285	5	0 1 0 1 0	0 1 0 1 0	1 0 1 1 1	1 0 0 1 0	1 0 1 0 1	1 0 0 0 0
Test104	0.155396704	5	0 0 0 0 0	1 0 0 1 0	0 1 1 1 1	0 1 1 0 0	0 1 0 1 1	1 1 0 1 0
Test105	0.189591533	5	1 1 1 1 0	1 0 1 0 1	1 1 0 0 1	1 0 1 1 0	1 1 1 1 0	1 1 0 1 0
Test106	0.427332523	5	0 1 1 0 1	0 1 1 1 1	1 0 0 1 0	1 0 1 0 0	1 1 0 0 0	1 1 1 0 0
Test107	0.080821887	5	0 1 1 1 0	0 0 1 1 0	0 1 0 0 1	1 0 1 1 1	1 0 0 1 1	0 0 1 0 1
Test108	0.605417491	5	0 0 1 1 1	1 1 1 1 1	1 0 0 1 0	1 0 1 0 0	1 1 0 0 0	0 0 1 1 0
Test109	0.748251043	5	0 0 1 0 0	1 0 0 0 0	0 1 0 0 0	0 0 1 0 1	0 0 0 0 0	1 1 0 0 1
Test110	0.592106606	5	0 0 0 0 0	0 1 0 0 0	0 0 1 1 0	1 1 1 1 0	0 0 0 0 0	1 0 0 0 0
Test111	0.805591653	5	0 1 1 1 1	0 1 1 1 1	0 0 1 1 1	1 0 1 1 1	0 0 0 0 0	1 0 0 0 0
Test112	0.111550241	5	0 0 1 0 1	0 0 0 1 0	0 1 1 1 1	0 0 1 1 1	1 1 0 1 1	1 0 1 0 0
Test113	0.936842458	5	0 0 0 0 0	0 1 1 1 1	0 0 0 1 0	1 0 1 0 1	1 1 1 0 0	0 0 1 0 0
Test114	0.194838283	5	1 1 0 1 0	1 1 0 1 0	1 0 1 1 0	1 1 1 0 0	1 1 0 0 0	1 0 0 1 0
Test115	0.184239453	5	0 1 0 1 1	1 1 1 1 0	1 0 0 0 1	1 0 0 0 1	1 1 1 0 0	0 1 0 0 1
Test116	0.698633214	5	1 1 0 0 1	0 1 1 1 1	0 1 1 1 0	0 1 1 0 0	0 0 0 0 0	1 0 1 0 0
Test117	0.461774166	5	1 0 0 1 1	1 1 0 0 0	1 0 0 1 0	1 0 0 0 0	0 1 0 1 0	0 0 0 1 1
Test118	0.390971569	5	1 1 0 1 0	1 1 1 0 1	0 0 1 0 1	1 1 1 0 1	0 1 1 0 1	1 0 0 1 0
Test119	0.65122263	5	0 1 1 1 0	0 0 1 1 0	1 1 1 1 0	0 0 1 1 1	0 1 0 1 1	1 1 0 1 0
Test120	0.855158	5	1 1 1 1 1	1 1 1 0 1	0 1 1 1 0	0 1 0 1 1	1 0 1 1 0	1 0 0 0 1
Test121	0.809695594	5	1 1 1 1 1	1 1 1 0 0	0 0 1 1 1	0 0 1 0 1	0 0 0 0 0	0 0 0 0 1
Test122	0.997112046	5	1 1 0 1 0	0 0 0 0 1	0 1 1 1 0	0 0 1 1 1	0 1 1 0 1	1 1 1 1 1
Test123	0.798189475	5	0 0 1 0 1	0 0 1 0 0	0 1 0 1 0	0 0 1 1 1	0 1 0 1 1	0 0 1 1 1
Test124	0.411333264	5	0 0 0 1 1	1 1 0 1 1	0 1 1 0 0	0 0 1 0 1	0 1 0 0 0	1 1 0 0 1
Test125	0.819097647	5	1 1 1 1 1	1 1 0 0 1	1 0 1 1 0	1 0 0 0 1	1 0 1 0 1	1 0 1 0 0
Test126	0.007330983	5	1 0 0 0 1	1 1 0 0 1	0 1 0 0 1	0 1 1 0 0	0 1 0 0 1	0 0 1 0 0
Test127	0.838448762	5	1 0 1 0 0	0 0 1 0 0	0 0 1 0 1	0 0 1 1 0	0 1 1 0 1	1 1 1 1 0
Test128	0.554877284	5	1 0 0 1 1	1 1 0 1 0	0 0 0 1 0	1 1 0 1 1	1 1 0 0 0	0 1 0 0 0
Test129	0.070251805	5	0 0 0 1 0	1 0 0 0 1	1 0 0 1 1	0 1 0 1 0	0 1 0 0 0	0 0 0 1 0
Test130	0.765689731	5	0 1 0 0 1	1 0 1 0 0	1 1 0 0 1	1 0 1 0 0	0 0 1 0 0	1 0 1 0 0
Test131	0.868106737	5	0 0 1 1 1	1 1 1 0 1	0 0 0 0 1	1 0 0 0 1	0 0 0 1 0	0 1 0 0 0
Test132	0.198517596	5	1 0 1 0 1	1 0 1 1 1	0 0 1 0 1	0 1 1 1 0	1 1 0 0 1	1 0 0 0 0
Test133	0.640054816	5	0 0 0 1 1	0 0 0 0 0	1 0 1 0 1	0 1 0 0 0	1 1 0 0 1	0 0 1 1 1
Test134	0.460463537	5	0 1 1 0 0	1 1 0 0 1	1 0 1 1 0	1 0 1 1 1	0 1 0 0 1	1 1 1 0 1
Test135	0.592678406	5	1 0 0 1 1	1 1 1 0 0	1 1 1 1 1	1 0 0 0 1	1 1 1 0 0	1 1 1 0 1
Test136	0.046133732	5	0 1 1 0 0	0 0 1 1 0	1 0 1 0 1	0 1 0 0 1	1 1 1 1 1	0 1 0 0 1
Test137	0.879232467	5	0 1 1 1 1	1 0 1 1 1	0 0 1 0 0	1 0 1 0 1	0 1 1 0 0	0 0 1 0 1
Test138	0.557088521	5	1 0 0 1 1	0 1 1 0 0	0 0 1 0 1	0 1 1 0 0	0 0 1 0 0	1 0 0 1 0
Test139	0.518659079	5	1 1 0 1 1	1 0 0 0 0	1 0 1 0 1	0 1 1 0 1	1 1 0 1 1	0 1 0 0 0
Test140	0.43265668	5	0 1 0 0 1	1 0 1 0 0	1 0 1 1 0	1 1 0 0 1	1 0 1 0 1	0 0 1 1 1
Test141	0.775044667	5	0 1 1 0 0	1 1 1 1 0	0 0 0 0 0	0 0 1 1 0	0 0 0 1 0	1 0 1 1 0
Test142	0.544616783	5	1 0 0 0 0	1 1 1 0 1	0 1 0 1 1	0 1 0 1 1	0 1 0 0 0	0 0 1 0 1
Test143	0.156510589	5	0 1 0 0 1	1 1 1 0 0	0 0 0 0 1	1 1 0 1 0	0 0 1 0 0	0 1 0 1 0
Test144	0.352303686	5	1 1 0 0 1	1 1 0 0 0	0 0 1 1 1	1 0 0 1 0	1 0 0 1 0	0 0 1 1 0
Test145	0.829190915	5	1 0 0 0 1	1 1 0 0 1	1 1 0 1 0	0 0 0 0 1	0 1 0 1 1	1 1 0 0 0
Test146	0.772768419	5	0 1 0 1 1	1 0 0 1 0	0 0 0 1 0	0 1 1 1 0	0 0 1 0 1	1 0 0 0 0
Test147	0.282282222	5	1 0 1 1 1	1 1 0 1 0	1 0 1 0 0	1 0 1 1 0	0 0 0 1 1	0 1 1 0 0
Test148	0.271855833	5	1 1 0 0 0	0 1 0 1 1	0 1 0 1 1	0 1 1 1 0	1 0 0 0 0	0 0 1 1 0
Test149	0.906301415	5	1 0 1 1 0	1 0 0 0 1	0 0 0 1 1	1 0 0 0 0	1 1 0 1 1	0 1 1 1 1
Test150	0.515104526	5	0 0 0 1 0	1 1 0 0 0	1 1 1 1 0	0 1 1 0 1	0 1 0 0 1	0 0 0 0 0
Test151	0.976503579	5	1 1 1 1 0	0 0 0 0 0	0 0 1 1 1	1 1 0 1 0	1 1 1 0 1	1 1 1 1 0
Test152	0.330230025	5	0 1 1 1 0	0 0 1 1 0	1 0 1 0 1	1 1 1 1 0	1 1 0 0 0	1 1 0 1 1
Test153	0.046241398	5	0 0 0 0 0	0 0 0 0 0	1 1 1 0 0	1 1 1 1 0	1 0 1 1 0	1 0 1 0 0
Test154	0.937327663	5	1 0 0 0 0	1 0 0 0 0	0 0 0 0 0	0 0 0 0 1	0 1 1 0 1	0 1 1 0 0
Test155	0.362177119	5	0 0 1 1 1	1 1 1 0 0	1 0 0 1 0	0 1 0 1 0	1 0 1 1 1	1 0 1 0 0
Test156	0.951593284	5	0 0 0 1 0	1 1 1 1 0	1 0 1 1 0	1 1 0 0 0	0 0 1 0 1	1 0 1 1 1
Test157	0.306483952	5	0 0 1 0 0	0 1 1 0 0	0 1 0 1 0	1 1 1 0 0	0 1 1 1 1	1 0 0 0 1
Test158	0.38031947	5	1 0 0 1 0	1 0 0 0 1	1 1 1 0 1	0 0 1 0 0	0 0 0 0 1	1 1 0 1 1
Test159	0.397102115	5	1 0 0 1 0	0 0 1 1 0	0 0 0 1 1	0 1 1 1 0	0 0 0 1 0	1 1 0 1 1
Test160	0.959868924	5	0 1 0 1 1	0 1 1 0 1	1 1 0 0 1	0 0 1 1 0	1 0 1 0 0	0 1 1 0 1
Test161	0.275176107	5	1 1 0 0 1	0 1 1 0 1	0 0 0 1 0	1 1 0 1 0	0 1 0 1 1	0 0 1 1 1
Test162	0.850926762	5	0 0 1 1 1	1 1 1 0 1	0 0 1 1 1	0 0 0 0 0	0 0 0 0 0	1 1 1 0 1
Test163	0.263844201	5	0 1 1 1 1	0 0 0 1 0	1 0 0 1 1	0 1 1 0 0	0 0 0 1 0	1 0 0 0 0
Test164	0.154371667	5	0 1 0 1 1	0 0 0 1 1	1 1 0 1 0	1 1 0 1 0	1 0 0 1 0	1 1 0 1 0
Test165	0.250226335	5	1 1 0 0 0	0 1 0 1 1	1 1 0 1 0	0 1 0 1 0	1 1 1 1 0	1 1 1 0 1
Test166	0.788366599	5	0 1 1 0 1	1 1 0 1 1	1 0 1 0 0	0 1 1 1 0	1 1 1 0 1	1 0 0 0 1
Test167	0.80304003	5	0 0 0 0 1	0 0 0 1 0	1 0 0 0 0	0 0 1 0 0	0 0 1 0 0	1 0 0 1 1
Test168	0.02775369	5	1 0 0 0 1	1 0 0 1 0	0 1 1 1 0	1 1 1 0 0	1 1 0 0 1	0 1 0 0 0
Test169	0.13112362	5	1 1 0 0 1	1 0 1 0 1	1 1 1 0 1	0 0 1 1 1	0 0 0 1 1	1 0 1 0 1
Test170	0.114403873	5	0 0 0 1 0	1 0 1 0 1	0 0 0 0 0	0 0 0 0 1	0 0 1 0 1	1 0 0 1 1
Test171	0.664390634	5	1 1 1 1 0	0 1 0 0 1	1 1 0 1 1	1 1 0 0 1	1 0 1 1 1	0 0 0 1 0
Test172	0.90530557	5	0 1 1 1 0	1 1 0 0 0	0 1 0 0 1	0 1 0 0 0	1 1 0 0 1	0 1 1 1 0
Test173	0.298488038	5	1 0 1 0 0	1 0 1 1 1	0 0 0 1 1	0 0 1 1 1	1 1 0 1 0	1 1 1 0 1
Test174	0.06409685	5	0 0 1 1 0	0 0 1 0 1	1 0 0 1 0	1 1 1 0 1	1 1 1 1 0	1 0 0 1 0
Test175	0.900036714	5	1 1 0 1 1	1 1 1 1 0	1 0 1 0 1	0 0 0 1 0	1 0 1 0 0	0 0 1 1 0
Test176	0.703551437	5	0 1 1 0 1	1 1 1 1 1	0 1 1 0 1	1 1 0 1 1	0 0 0 0 0	0 0 1 0 0
Test177	0.470536109	5	1 1 0 1 0	1 1 0 1 0	0 0 1 1 0	0 0 1 0 0	1 0 1 0 0	1 0 1 1 0
Test178	0.799373756	5	0 1 0 1 1	1 1 1 1 1	1 1 1 1 0	0 0 1 1 1	1 0 0 1 1	1 1 1 1 0
Test179	0.736554509	5	0 1 0 1 0	0 1 0 0 1	0 0 0 1 0	0 1 0 1 1	1 0 1 0 0	1 1 1 1 0
Test180	0.207508003	5	1 0 0 0 1	1 0 0 1 1	0 0 0 1 0	1 1 0 1 0	0 1 1 0 1	1 0 1 1 1
Test181	0.707102184	5	0 1 0 1 1	0 1 1 0 0	1 0 1 0 1	1 1 0 0 1	1 0 0 0 0	1 1 0 1 1
Test182	0.479939846	5	0 0 0 1 0	1 1 0 1 1	0 0 1 1 0	0 1 1 1 0	0 0 0 0 1	1 0 0 0 0
Test183	0.108687903	5	0 0 0 0 1	1 1 0 1 1	1 1 1 0 0	1 0 0 0 0	0 1 1 0 0	1 1 0 1 0
Test184	0.99255662	5	1 1 0 0 0	1 0 1 0 0	1 1 1 0 0	1 0 1 1 0	1 0 1 1 1	1 0 0 0 1
Test185	0.407143199	5	0 0 0 1 0	0 0 0 0 0	1 0 0 1 0	0 0 1 0 1	1 0 0 0 0	0 0 1 0 1
Test186	0.82129374	5	0 0 0 1 0	0 0 0 1 1	0 0 0 0 0	1 0 1 0 0	1 0 0 0 1	0 0 1 0 0
Test187	0.113470309	5	1 1 1 0 1	0 1 0 0 0	1 1 1 0 0	0 0 1 1 1	0 0 1 1 0	0 1 0 0 0
Test188	0.945905516	5	0 1 0 0 0	1 1 0 1 0	1 0 0 0 0	0 1 1 0 0	0 1 0 1 1	0 0 1 0 1
Test189	0.646945194	5	1 1 1 0 1	0 0 0 1 1	1 1 1 0 1	1 1 0 1 0	1 0 1 0 0	0 1 1 0 1
Test190	0.056302707	5	0 1 0 0 0	1 1 0 1 1	0 0 0 1 1	0 0 0 1 1	0 1 0 1 1	1 1 0 0 0
Test191	0.925787652	5	0 1 1 0 1	0 0 0 0 0	1 0 0 0 1	1 0 1 0 1	1 1 1 1 0	1 0 1 1 1
Test192	0.414505776	5	1 1 1 1 0	1 0 1 0 1	1 0 1 1 1	1 0 1 0 0	1 0 1 1 0	1 1 1 1 0
Test193	0.183541994	5	1 1 0 1 1	1 0 1 0 1	1 0 0 1 0	0 0 0 0 0	1 1 1 0 0	0 0 0 0 0
