Name	Probability	Cycle	In	In_1	In_2	Out
X58	0.152790458	1	1 1 1 1 1 0 1 0 0 0	1 1 1 1 1	0 1 0 0 0	0 0 1 1 0
X59	0.733937755	1	0 0 1 1 1 1 1 0 0 0	0 0 1 1 1	1 1 0 0 0	0 0 0 1 0
X60	0.598450668	1	0 0 1 0 1 0 1 0 1 1	0 0 1 0 1	0 1 0 1 1	0 1 1 1 0
X61	0.322518027	1	0 0 1 1 1 0 1 1 0 1	0 0 1 1 1	0 1 1 0 1	0 0 1 0 1
X62	0.721617935	1	0 1 1 0 0 1 1 1 1 1	0 1 1 0 0	1 1 1 1 1	1 1 1 0 0
X63	0.277151551	1	0 1 1 1 1 0 1 0 1 0	0 1 1 1 1	0 1 0 1 0	1 0 1 1 1
X64	0.060204333	1	0 0 0 0 0 1 1 0 0 1	0 0 0 0 0	1 1 0 0 1	0 0 1 1 1
X65	0.26480111	1	0 1 1 1 0 0 0 0 0 0	0 1 1 1 0	0 0 0 0 0	1 0 0 0 0
X66	0.739935904	1	0 0 0 0 0 0 0 0 1 0	0 0 0 0 0	0 0 0 1 0	0 0 0 0 1
X67	0.3775983	1	0 1 0 1 0 1 1 1 0 1	0 1 0 1 0	1 1 1 0 1	1 1 1 0 1
X68	0.161562934	1	1 0 1 0 0 1 0 1 1 1	1 0 1 0 0	1 0 1 1 1	1 1 1 1 0
X69	0.474578012	1	0 1 1 0 0 1 0 1 0 0	0 1 1 0 0	1 0 1 0 0	1 1 1 1 0
X70	0.494482254	1	0 1 1 1 1 1 0 1 0 1	0 1 1 1 1	1 0 1 0 1	1 0 0 1 1
X71	0.167863036	1	0 0 0 1 0 1 0 1 1 1	0 0 0 1 0	1 0 1 1 1	0 1 1 1 0
X72	0.361482748	1	1 0 1 0 0 0 0 0 0 1	1 0 1 0 0	0 0 0 0 1	1 1 0 0 1
X73	0.380158468	1	0 0 1 1 1 0 1 0 0 1	0 0 1 1 1	0 1 0 0 1	0 0 1 1 1
X74	0.17835792	1	0 1 0 1 0 0 1 1 1 0	0 1 0 1 0	0 1 1 1 0	1 1 0 0 1
X75	0.007774911	1	0 1 1 1 1 0 0 0 1 1	0 1 1 1 1	0 0 0 1 1	1 0 1 0 0
X76	0.757028616	1	0 1 1 0 1 1 1 0 0 1	0 1 1 0 1	1 1 0 0 1	1 1 0 1 1
X77	0.766284699	1	1 1 1 1 0 0 0 1 0 0	1 1 1 1 0	0 0 1 0 0	0 0 0 1 0
X78	0.661528328	1	0 0 0 0 0 0 0 1 1 1	0 0 0 0 0	0 0 1 1 1	0 0 0 1 0
X79	0.608810803	1	1 1 0 1 1 0 0 1 0 1	1 1 0 1 1	0 0 1 0 1	0 1 1 1 1
X80	0.046791384	1	0 0 1 1 1 0 0 1 0 0	0 0 1 1 1	0 0 1 0 0	0 0 1 1 0
X81	0.221240435	1	1 0 0 1 1 1 0 1 1 0	1 0 0 1 1	1 0 1 1 0	1 1 0 1 1
X82	0.342568525	1	0 0 0 1 0 1 1 1 0 1	0 0 0 1 0	1 1 1 0 1	0 1 1 0 1
X83	0.950777129	1	0 1 1 0 0 0 1 0 1 1	0 1 1 0 0	0 1 0 1 1	1 1 0 1 0
X84	0.450152819	1	1 1 0 0 0 1 0 1 0 0	1 1 0 0 0	1 0 1 0 0	0 0 1 1 0
X85	0.49930018	1	0 0 1 1 1 1 1 0 0 0	0 0 1 1 1	1 1 0 0 0	0 0 0 1 0
X86	0.40510462	1	0 1 1 1 1 0 1 0 0 1	0 1 1 1 1	0 1 0 0 1	1 0 1 1 1
X87	0.127361654	1	0 1 0 0 0 0 0 0 1 1	0 1 0 0 0	0 0 0 1 1	1 0 0 0 0
X88	0.672626417	1	1 1 0 0 1 1 1 0 0 0	1 1 0 0 1	1 1 0 0 0	0 0 0 1 0
X89	0.310470213	1	1 1 1 0 0 0 0 1 1 1	1 1 1 0 0	0 0 1 1 1	0 1 0 1 0
X90	0.729412101	1	0 1 0 1 0 0 0 1 1 0	0 1 0 1 0	0 0 1 1 0	1 1 0 1 1
X91	0.644857676	1	0 1 1 1 0 0 1 0 0 1	0 1 1 1 0	0 1 0 0 1	1 0 0 1 1
X92	0.463766326	1	0 0 0 0 0 1 0 0 1 0	0 0 0 0 0	1 0 0 1 0	0 0 1 0 1
X93	0.042558272	1	1 1 1 0 0 1 0 1 1 1	1 1 1 0 0	1 0 1 1 1	0 1 1 1 0
X94	0.781552484	1	0 1 0 1 0 1 1 0 1 1	0 1 0 1 0	1 1 0 1 1	1 1 1 1 0
X95	0.125287501	1	0 1 0 1 0 0 1 0 0 0	0 1 0 1 0	0 1 0 0 0	1 1 0 1 0
X96	0.765466306	1	1 0 1 1 1 1 1 1 1 0	1 0 1 1 1	1 1 1 1 0	1 0 0 0 1
X97	0.067701885	1	1 1 0 1 1 0 1 1 0 0	1 1 0 1 1	0 1 1 0 0	0 1 1 0 0
X98	0.163588323	1	0 0 1 0 1 0 0 1 1 0	0 0 1 0 1	0 0 1 1 0	0 1 1 1 1
X99	0.999349246	1	0 1 1 1 1 1 1 0 0 1	0 1 1 1 1	1 1 0 0 1	1 0 0 1 1
X100	0.981912015	1	0 1 1 0 0 1 1 1 0 1	0 1 1 0 0	1 1 1 0 1	1 1 1 0 1
