Name	Probability	Cycle	Input_1	Input_2	Input_3	Input_4	Input_5	Output
X23	0.88471782	5	0 1 0 1 1	1 0 1 1 1	1 0 1 0 1	0 0 1 1 0	1 0 0 0 0	1 0 1 1 1
X24	0.53074608	5	0 0 1 1 1	1 1 0 1 1	1 1 1 0 0	0 0 1 1 0	0 1 0 1 1	0 1 1 1 1
X25	0.763156876	5	0 1 1 1 0	1 0 1 0 1	0 1 1 1 1	1 1 0 1 1	0 1 0 0 1	0 1 1 1 1
X26	0.185088	5	1 0 0 1 0	0 0 0 0 1	0 1 0 0 1	0 1 0 1 1	1 0 0 0 0	0 0 0 0 1
X27	0.524951609	5	0 0 0 1 0	1 0 0 0 0	1 1 0 0 0	0 1 0 0 1	1 0 1 1 1	1 0 0 0 0
X28	0.362307897	5	0 1 0 1 0	0 1 0 0 0	0 1 0 0 1	1 0 1 1 0	0 1 0 0 1	0 1 0 0 0
X29	0.466053977	5	0 0 1 0 0	0 1 1 1 0	0 1 0 0 0	1 1 1 0 1	1 1 0 1 0	0 1 1 0 0
X30	0.375936614	5	1 0 1 1 0	0 0 0 1 0	0 1 1 0 0	1 0 0 0 1	0 0 1 1 0	0 0 1 1 0
X31	0.725941814	5	0 1 1 1 1	0 1 0 1 1	1 1 0 0 0	1 0 0 0 0	0 0 0 0 0	0 1 0 0 0
X32	0.465394734	5	1 0 0 0 1	1 1 0 1 0	1 0 0 1 1	0 1 1 1 0	1 1 0 0 1	1 1 0 1 1
X33	0.303473152	5	0 1 1 1 1	1 1 1 0 1	1 0 1 0 0	1 0 0 0 1	1 1 0 1 0	1 1 1 0 1
X34	0.920984661	5	1 1 1 1 1	1 1 1 0 1	1 1 1 1 0	1 0 1 1 1	0 1 1 1 0	1 1 1 1 1
X35	0.383902732	5	0 0 1 1 1	0 1 0 0 1	1 0 0 0 1	0 0 1 0 0	1 1 0 1 1	0 0 0 0 1
X36	0.28249302	5	0 0 0 0 0	1 1 0 0 0	0 1 1 0 0	1 0 1 1 1	0 0 0 0 1	0 0 0 0 0
X37	0.166820894	5	0 0 1 0 1	0 1 1 1 0	0 1 1 1 0	0 0 0 0 0	1 1 0 1 0	0 1 1 1 0
X38	0.434226763	5	1 1 1 0 0	0 0 0 1 0	0 1 1 0 1	1 1 1 1 0	1 1 1 1 0	1 1 1 1 0
X39	0.249390352	5	1 1 1 0 0	0 1 1 1 1	1 1 1 1 1	0 1 0 1 0	0 0 1 0 0	0 1 1 1 0
X40	0.166134139	5	0 1 1 0 0	1 1 0 0 0	1 1 0 0 1	1 1 0 0 1	0 1 0 0 1	1 1 0 0 1
X41	0.456023391	5	1 1 1 0 1	1 1 0 1 1	1 1 0 0 1	0 0 1 1 1	1 0 0 0 1	1 1 0 0 1
X42	0.852040606	5	0 0 1 1 1	0 0 0 0 0	1 0 1 1 1	0 1 0 0 1	0 1 1 0 1	0 0 1 0 1
X43	0.030615492	5	1 1 1 1 1	1 1 0 0 1	1 1 0 1 0	0 0 0 1 0	0 0 1 0 1	1 1 0 1 1
X44	0.723900785	5	1 1 0 1 1	0 0 1 0 1	0 0 1 1 1	1 1 1 1 0	1 1 0 0 0	1 1 1 1 1
X45	0.919831126	5	0 1 0 0 1	1 1 1 0 1	0 0 1 1 0	1 1 0 1 1	1 1 1 1 1	1 1 1 1 1
X46	0.428452582	5	0 1 0 1 1	0 1 1 0 0	1 0 1 0 1	0 0 1 0 1	1 0 0 0 1	0 0 1 0 1
X47	0.634682412	5	1 0 1 1 0	0 0 1 1 0	0 0 1 1 1	1 1 1 0 1	0 1 0 0 1	0 0 1 1 1
X48	0.775392222	5	1 1 0 1 1	0 0 1 1 1	1 1 0 1 1	0 1 1 0 0	1 0 1 1 1	1 1 1 1 1
X49	0.96616101	5	1 1 0 1 0	1 0 0 0 1	0 0 0 0 0	0 0 0 0 1	0 0 0 0 0	0 0 0 0 0
X50	0.008231544	5	0 1 1 0 0	0 1 0 0 0	1 1 0 0 1	1 1 1 1 0	1 0 1 1 1	1 1 1 0 0
X51	0.340599007	5	1 0 1 0 1	0 0 1 1 1	1 1 1 1 0	1 0 1 1 1	0 0 0 0 0	1 0 1 1 1
X52	0.409468957	5	1 0 0 1 1	1 1 0 0 0	1 1 1 1 0	1 0 1 1 0	1 1 0 0 0	1 1 0 1 0
X53	0.412629443	5	1 1 0 1 0	1 0 1 0 0	0 1 1 0 1	1 1 0 1 0	1 1 0 1 0	1 1 0 1 0
X54	0.093998953	5	0 1 0 0 1	0 1 1 1 1	0 0 0 1 1	0 0 1 1 0	1 1 1 1 0	0 1 1 1 1
X55	0.955826605	5	0 1 1 0 0	1 0 0 1 1	0 1 1 0 0	1 1 0 0 0	1 0 0 0 1	1 1 0 0 0
X56	0.249066329	5	0 0 1 1 1	1 0 0 1 0	1 0 1 0 1	0 1 0 0 0	0 0 1 0 0	0 0 1 0 0
X57	0.432805317	5	0 1 0 1 0	1 1 0 1 1	1 0 1 1 0	1 1 0 0 0	1 1 1 1 1	1 1 0 1 0
X58	0.001260404	5	0 1 1 1 0	0 0 0 1 1	0 0 0 1 1	0 1 0 1 0	0 1 0 1 1	0 1 0 1 1
X59	0.124169519	5	0 0 0 1 1	1 1 0 1 1	1 1 0 0 1	1 1 0 1 0	0 1 0 0 0	1 1 0 1 1
X60	0.769569766	5	1 1 1 1 0	1 0 0 0 0	1 1 0 0 0	1 0 1 0 1	1 0 0 0 1	1 0 0 0 0
X61	0.145640904	5	0 0 0 1 0	1 1 0 1 1	0 1 0 0 1	0 0 0 0 0	0 0 1 1 1	0 0 0 1 1
X62	0.152043486	5	0 0 0 0 0	0 0 1 1 0	0 1 1 0 0	1 0 1 1 1	1 1 0 0 1	0 0 1 0 0
X63	0.356263778	5	0 0 1 1 1	1 0 0 0 1	0 1 1 0 0	1 0 0 1 0	1 0 1 0 1	1 0 1 0 1
X64	0.175270671	5	1 1 0 0 0	0 0 0 1 1	0 1 0 0 1	0 0 0 0 1	1 0 1 1 0	0 0 0 0 1
X65	0.838322642	5	0 0 0 1 1	1 1 1 0 1	0 1 1 1 1	1 0 0 1 0	1 0 0 1 1	1 0 0 1 1
X66	0.639914705	5	1 0 0 0 0	1 0 0 0 0	0 0 0 1 0	1 1 0 1 1	0 1 0 1 1	1 0 0 1 0
X67	0.530987729	5	1 0 0 0 0	1 1 0 1 0	1 0 1 1 1	0 0 1 0 0	0 0 0 0 1	1 0 0 0 0
X68	0.342233676	5	0 1 1 1 0	1 0 0 0 0	0 0 0 0 1	1 0 0 0 1	1 0 1 0 0	1 0 0 0 0
X69	0.539097383	5	0 1 0 1 1	0 0 0 1 0	0 1 1 1 1	0 1 0 1 0	0 0 1 0 0	0 1 0 1 0
X70	0.85694006	5	1 1 0 0 1	1 1 0 1 1	1 0 0 0 1	0 1 0 1 1	0 1 0 1 1	1 1 0 1 1
X71	0.320768487	5	1 1 1 1 1	0 0 1 1 0	1 1 0 1 0	1 0 1 0 1	1 0 0 0 0	1 0 1 1 0
X72	0.539774538	5	0 1 1 0 1	0 0 0 1 1	0 1 0 0 1	1 0 1 1 0	0 1 0 0 1	0 1 0 0 1
X73	0.038006482	5	0 0 0 1 1	1 0 0 0 1	1 1 0 0 1	1 1 1 1 0	1 1 1 0 1	1 1 0 0 1
X74	0.568722677	5	0 0 0 1 1	0 1 1 1 0	1 1 0 0 0	1 1 1 1 1	0 0 0 0 1	0 1 0 1 1
X75	0.080666606	5	0 0 0 1 0	1 1 1 1 1	0 1 0 0 0	1 1 1 1 1	1 1 1 1 0	1 1 1 1 0
X76	0.744292919	5	0 0 1 0 1	1 1 1 1 1	0 1 0 0 0	1 1 1 1 1	1 0 0 1 0	1 1 1 1 1
X77	0.002973624	5	1 1 1 1 0	1 0 0 0 1	0 1 0 0 1	0 0 0 1 1	0 1 1 0 0	0 1 0 0 1
X78	0.201671107	5	0 1 0 0 0	0 0 1 0 1	0 0 1 1 0	1 0 0 0 0	0 1 0 0 0	0 0 0 0 0
X79	0.062413429	5	0 0 1 1 0	1 0 0 1 0	1 1 0 1 0	0 0 0 0 0	0 0 1 0 0	0 0 0 1 0
X80	0.383819901	5	1 0 0 1 0	1 0 0 0 1	1 1 0 1 0	1 1 1 1 0	0 1 1 0 0	1 1 0 1 0
X81	0.426211294	5	0 1 0 0 1	1 0 0 0 1	0 1 1 1 1	1 0 1 1 0	1 0 1 0 1	1 0 1 0 1
X82	0.770941315	5	1 1 1 1 0	0 0 1 1 0	1 0 1 0 1	1 0 0 1 1	0 1 1 0 1	1 0 1 1 1
X83	0.255471929	5	0 1 0 0 0	0 1 1 0 1	0 1 0 1 1	0 1 1 1 0	0 0 1 0 1	0 1 1 0 1
X84	0.117278313	5	1 0 0 0 1	1 0 1 0 0	1 1 1 1 0	0 1 1 0 0	1 1 0 1 1	1 1 1 0 0
X85	0.153785679	5	0 0 0 1 1	1 1 0 0 1	0 1 0 0 1	1 0 0 1 1	0 1 0 1 0	0 1 0 1 1
X86	0.130022018	5	1 0 0 0 0	1 0 0 0 1	1 1 0 0 1	1 0 0 0 0	0 1 0 1 0	1 0 0 0 0
X87	0.289124148	5	1 1 1 0 0	1 1 0 1 1	0 0 0 1 1	1 0 0 1 1	1 0 1 0 0	1 0 0 1 1
X88	0.356595836	5	0 1 0 0 0	1 1 0 0 0	0 1 1 1 1	1 1 0 0 0	0 1 1 1 1	0 1 0 0 0
X89	0.472241427	5	0 1 1 1 1	1 0 1 1 1	1 1 1 1 1	0 0 0 1 1	1 0 0 1 1	1 0 1 1 1
X90	0.071365661	5	0 0 0 1 0	0 0 0 0 0	0 1 1 1 1	1 1 0 0 0	0 1 0 0 0	0 1 0 0 0
X91	0.731944085	5	1 1 1 1 0	0 0 0 1 0	0 1 1 1 0	1 1 0 1 0	0 1 0 1 1	0 1 0 1 0
X92	0.292149821	5	0 1 0 1 0	0 0 0 1 0	0 1 0 0 1	0 0 1 0 1	0 1 1 0 0	0 1 0 0 0
X93	0.659262967	5	0 0 0 0 1	1 1 0 1 0	0 0 0 0 0	0 0 0 0 1	1 0 0 0 0	0 0 0 0 0
X94	0.266269609	5	1 1 1 1 1	0 1 0 1 1	0 1 0 0 1	1 1 1 0 1	0 0 0 0 0	0 1 0 0 1
X95	0.53613177	5	1 1 1 1 1	0 1 1 1 0	0 1 0 0 1	1 1 1 1 1	0 1 0 0 0	0 1 1 1 1
X96	0.788405855	5	1 1 0 0 1	1 1 1 0 1	0 1 1 0 1	1 1 0 0 0	1 0 0 0 1	1 1 0 0 1
X97	0.601225132	5	1 0 1 1 1	1 1 1 1 0	1 0 1 1 0	0 0 0 0 1	0 1 0 0 0	1 0 1 1 0
X98	0.152103751	5	0 1 1 1 1	1 1 0 1 1	1 1 1 1 0	0 0 1 1 1	1 0 1 1 1	1 1 1 1 1
X99	0.948128741	5	1 0 0 0 0	0 1 1 0 0	1 0 1 1 1	1 0 0 0 1	0 0 0 0 0	1 0 0 0 0
X100	0.984903344	5	0 0 0 1 1	1 0 1 1 1	1 1 1 0 1	0 0 1 1 1	1 1 0 1 0	1 0 1 1 1
X101	0.665939841	5	0 1 1 0 1	1 0 0 0 1	0 0 0 0 0	0 1 1 0 1	1 0 0 0 0	0 0 0 0 1
X102	0.6418701	5	1 0 0 0 1	0 1 0 0 0	1 1 0 1 1	0 0 0 0 1	0 0 0 1 0	0 0 0 0 1
X103	0.741905093	5	1 1 1 1 1	0 1 0 1 1	1 0 0 1 0	1 1 0 1 1	0 0 0 1 0	1 1 0 1 1
X104	0.031131361	5	1 0 1 1 0	1 0 1 1 1	1 1 1 1 1	1 1 0 0 0	0 0 0 1 1	1 0 1 1 1
X105	0.453282147	5	1 0 0 1 1	0 1 0 0 1	1 1 1 0 0	1 0 1 1 0	1 1 1 0 1	1 1 1 0 1
X106	0.725098078	5	1 0 0 1 0	0 0 1 1 0	1 0 0 0 1	1 1 0 0 1	0 0 0 1 1	1 0 0 1 1
X107	0.328813413	5	1 1 1 0 1	1 1 0 0 0	0 1 0 0 1	1 1 0 0 1	1 0 1 1 0	1 1 0 0 1
X108	0.945776351	5	0 1 0 0 1	0 1 1 1 0	0 1 0 0 0	0 0 0 1 1	1 0 1 0 0	0 1 0 0 0
X109	0.733970708	5	1 1 0 1 0	1 0 1 1 0	0 1 1 1 1	0 1 1 1 0	0 0 0 1 0	0 1 1 1 0
X110	0.610134845	5	1 0 1 1 1	1 1 0 0 0	0 0 0 0 1	0 1 0 1 1	0 1 0 1 0	0 1 0 1 1
X111	0.487922118	5	0 1 1 1 0	1 0 0 1 1	1 0 0 1 0	1 1 1 1 1	1 0 1 0 1	1 0 1 1 1
X112	0.723936236	5	1 1 1 1 1	1 1 0 0 1	1 0 0 0 1	1 1 1 1 1	0 0 1 1 1	1 1 1 1 1
X113	0.359189104	5	1 0 0 1 1	0 0 1 0 0	0 1 1 1 1	0 1 0 1 1	0 1 1 1 1	0 1 1 1 1
X114	0.580649494	5	0 0 1 1 0	0 0 1 0 1	0 0 0 1 1	1 1 0 1 0	0 0 0 0 1	0 0 0 1 1
X115	0.317710114	5	0 0 0 0 0	1 1 1 1 0	1 0 1 1 0	1 1 1 0 0	1 1 1 1 1	1 1 1 1 0
X116	0.642185486	5	1 1 0 1 0	0 0 0 1 1	0 1 0 1 1	1 0 0 1 0	0 0 1 1 1	0 0 0 1 1
X117	0.363076822	5	0 0 1 1 1	0 0 1 0 0	1 0 0 1 1	0 1 1 0 0	1 0 0 0 1	0 0 1 0 1
X118	0.876962673	5	1 1 0 0 1	0 1 1 0 1	1 0 0 1 1	1 0 1 1 1	1 1 0 0 1	1 1 0 0 1
X119	0.835966571	5	1 1 1 0 0	0 0 0 0 1	0 1 1 1 0	0 0 0 1 1	0 0 0 1 0	0 0 0 1 0
X120	0.336154131	5	1 1 1 1 1	0 1 0 0 0	1 0 1 0 1	0 0 0 1 0	0 1 1 0 1	0 1 1 0 1
X121	0.073577439	5	1 1 1 0 1	0 0 0 1 1	1 0 0 0 0	0 1 1 0 0	1 1 0 1 1	1 1 0 0 1
X122	0.43805935	5	0 0 1 1 1	0 0 1 0 1	0 0 1 1 1	1 1 0 0 0	1 0 1 0 0	0 0 1 0 1
X123	0.245474233	5	1 0 1 0 1	0 0 1 1 1	1 1 1 0 0	1 0 0 1 1	0 0 0 1 0	1 0 1 1 1
X124	0.704464558	5	1 0 0 1 1	1 1 0 1 0	1 1 0 0 1	1 1 0 1 0	1 0 1 0 0	1 1 0 1 0
X125	0.642964886	5	0 0 0 1 1	0 0 0 0 0	0 1 0 1 0	1 0 1 1 1	1 1 1 1 1	0 0 0 1 1
X126	0.497879581	5	0 0 1 0 0	0 1 1 1 0	0 1 1 0 0	0 0 1 0 0	1 1 0 0 1	0 1 1 0 0
X127	0.221085737	5	1 1 0 0 1	0 1 1 1 1	0 1 1 0 1	0 1 0 0 1	1 0 1 1 0	0 1 1 0 1
X128	0.858573366	5	0 0 0 1 0	0 1 1 1 0	1 0 1 1 0	0 1 1 0 0	1 0 0 1 0	0 0 1 1 0
X129	0.692922239	5	0 1 0 0 1	1 0 0 1 0	0 0 1 0 1	0 0 0 1 0	1 1 1 0 0	0 0 0 0 0
X130	0.027324433	5	0 1 0 0 1	0 1 1 0 0	0 0 0 0 1	1 0 0 1 1	1 0 0 0 1	0 0 0 0 1
X131	0.174883413	5	0 1 0 0 0	0 0 0 1 1	0 1 0 1 0	1 1 1 0 1	0 1 1 1 1	0 1 0 1 1
X132	0.799185565	5	1 1 0 0 0	0 1 1 1 1	1 1 1 0 0	0 1 0 1 1	0 0 0 0 1	0 1 0 0 1
X133	0.31845148	5	1 0 1 1 1	0 0 1 0 1	1 1 1 0 0	0 1 1 0 0	0 0 0 1 1	0 0 1 0 1
X134	0.626613957	5	1 0 0 0 0	0 1 0 0 1	0 0 0 0 0	1 0 0 0 1	0 1 1 1 0	0 0 0 0 0
X135	0.040952878	5	1 1 1 1 1	0 0 0 0 0	1 1 0 1 0	1 1 1 0 0	0 0 1 1 1	1 1 1 1 0
X136	0.529896923	5	1 1 1 0 0	1 0 0 1 1	1 1 1 0 0	1 0 1 1 1	1 1 0 0 1	1 1 1 0 1
X137	0.702436148	5	1 0 0 1 0	0 1 1 1 0	1 1 0 0 1	0 0 1 1 1	1 1 1 0 0	1 1 1 1 0
X138	0.124557256	5	0 1 1 0 0	0 0 0 0 1	0 0 0 0 1	1 0 0 0 0	1 1 1 0 1	0 0 0 0 1
X139	0.913174877	5	1 0 1 1 0	0 0 1 0 0	1 0 0 0 0	0 0 0 0 0	0 1 1 1 0	0 0 1 0 0
X140	0.088161966	5	1 1 0 0 0	1 0 0 1 1	0 0 0 1 0	0 0 0 1 1	0 0 0 0 0	0 0 0 1 0
X141	0.543097541	5	1 0 1 0 0	1 0 1 1 0	0 1 1 1 1	1 1 0 1 1	0 0 1 1 1	1 0 1 1 1
X142	0.528899295	5	1 1 1 0 0	0 1 0 0 1	1 1 0 0 1	1 1 0 0 1	0 1 0 1 1	1 1 0 0 1
X143	0.894235316	5	0 0 1 0 0	0 1 0 1 1	1 1 1 0 0	1 1 0 0 0	0 1 1 0 0	0 1 1 0 0
X144	0.1590073	5	0 0 1 0 0	1 0 0 0 0	0 0 0 0 1	0 1 1 0 1	0 1 0 0 1	0 0 0 0 1
X145	0.267814706	5	0 1 0 1 1	1 1 1 0 1	0 0 1 1 1	0 1 1 0 1	0 0 0 0 1	0 1 1 0 1
X146	0.613937766	5	0 1 0 0 1	1 1 0 1 1	1 0 0 1 0	0 1 1 0 1	0 1 1 0 1	0 1 0 0 1
X147	0.3006757	5	0 1 1 1 0	0 1 0 0 0	0 1 0 0 0	0 1 0 0 1	0 1 1 1 1	0 1 0 0 0
X148	0.141105978	5	1 1 1 1 0	1 1 0 1 0	0 1 0 0 0	0 0 0 0 1	1 0 1 1 1	1 1 0 1 0
X149	0.629471122	5	1 0 1 0 0	0 1 0 0 1	1 1 0 1 1	0 1 0 1 0	0 1 0 1 0	0 1 0 1 0
X150	0.599697527	5	0 1 0 1 1	0 1 0 0 0	1 1 1 0 0	0 0 1 0 0	1 0 0 0 1	0 1 0 0 0
X151	0.731176534	5	1 1 0 1 1	0 1 1 1 1	0 0 1 1 1	1 0 0 0 0	0 1 1 1 0	0 1 1 1 1
X152	0.548009149	5	0 1 0 1 1	0 1 0 0 0	0 0 1 1 1	1 0 0 1 1	0 0 0 0 0	0 0 0 1 1
X153	0.760606413	5	0 0 1 1 1	0 0 0 1 1	0 1 1 1 0	1 1 0 0 1	1 1 0 1 1	0 1 0 1 1
X154	0.451503855	5	1 0 0 1 0	1 0 0 1 1	0 1 1 1 1	1 1 1 1 0	0 1 0 1 1	1 1 0 1 1
X155	0.28805212	5	1 0 0 0 0	1 0 1 1 0	0 0 0 0 0	1 1 0 0 0	0 1 1 0 0	1 0 0 0 0
X156	0.052959329	5	0 1 1 1 0	1 1 0 1 0	0 1 0 1 1	1 1 1 0 1	0 0 1 1 0	0 1 1 1 0
X157	0.42007939	5	0 0 1 1 0	0 1 1 1 0	1 0 0 1 1	0 1 0 1 1	0 0 1 1 1	0 0 1 1 1
X158	0.455920464	5	1 0 1 1 0	0 0 1 0 1	0 1 1 1 0	1 1 1 0 0	0 0 1 0 1	0 0 1 0 0
X159	0.126590227	5	0 1 1 0 1	1 0 0 1 0	1 1 0 0 1	1 1 0 0 0	1 1 0 1 1	1 1 0 0 1
X160	0.680153241	5	1 0 0 1 1	0 1 0 1 0	0 0 1 1 0	1 0 0 0 0	1 0 0 1 0	1 0 0 1 0
X161	0.007284209	5	1 0 1 0 1	1 0 1 0 1	0 0 0 1 1	1 0 1 0 1	1 1 1 1 1	1 0 1 0 1
X162	0.011433256	5	1 1 0 1 0	1 1 0 1 1	0 1 0 0 0	0 0 0 0 0	0 1 0 0 0	0 1 0 0 0
X163	0.539070545	5	1 0 1 0 0	0 1 1 0 1	0 0 1 1 1	1 0 1 0 1	0 0 1 0 1	0 0 1 0 1
X164	0.692261693	5	1 0 0 1 0	0 0 1 0 1	1 1 0 1 0	1 0 1 0 1	0 0 0 1 1	1 0 0 1 1
X165	0.255508507	5	1 0 1 0 0	1 1 0 0 0	1 1 1 0 0	1 1 1 1 1	0 1 1 0 0	1 1 1 0 0
X166	0.587454271	5	1 1 1 0 0	1 0 1 1 0	1 0 0 0 0	1 1 1 0 0	0 1 0 0 0	1 1 1 0 0
X167	0.243141458	5	0 0 1 1 1	1 1 0 0 1	1 0 0 1 1	0 1 0 0 1	0 0 1 1 1	0 0 0 1 1
X168	0.004204879	5	1 0 1 0 0	1 1 1 0 0	0 1 1 1 1	0 1 0 0 1	0 0 1 1 0	0 1 1 0 0
X169	0.065199653	5	0 0 1 0 1	0 1 0 0 1	0 0 1 0 0	1 1 1 1 0	1 0 1 0 0	0 0 1 0 0
X170	0.159990388	5	0 0 0 1 1	1 1 0 1 1	0 0 1 1 1	0 0 1 1 1	0 0 0 0 1	0 0 0 1 1
X171	0.019210245	5	1 1 0 0 0	0 0 0 1 0	1 0 1 1 1	0 1 0 1 0	1 1 0 1 1	1 1 0 1 0
X172	0.687262258	5	1 1 1 0 0	0 0 0 0 1	1 1 0 0 1	0 0 0 0 0	1 1 1 1 1	1 1 0 0 1
X173	0.565697124	5	0 1 0 0 0	1 0 0 1 1	1 0 1 1 0	1 0 1 0 1	0 1 1 0 1	1 0 1 0 1
X174	0.948869203	5	0 0 0 0 0	1 1 1 0 0	1 0 1 0 0	0 0 1 1 1	0 1 0 1 0	0 0 1 0 0
X175	0.541703618	5	1 0 0 0 0	0 0 0 1 1	1 1 0 1 1	1 0 1 1 0	1 0 0 1 1	1 0 0 1 1
X176	0.873011029	5	1 1 0 1 1	1 1 1 1 0	0 1 1 1 1	1 1 1 0 1	0 0 0 0 1	1 1 1 1 1
X177	0.093042767	5	1 1 0 1 1	1 1 1 0 0	1 1 1 1 0	0 0 0 1 0	1 0 0 0 0	1 1 0 1 0
X178	0.738000276	5	0 0 0 0 0	1 1 1 1 0	1 0 1 0 0	1 0 0 1 1	0 0 1 0 1	1 0 1 0 0
X179	0.218756398	5	1 0 1 1 1	1 1 0 1 0	1 1 1 1 0	0 1 1 0 0	0 1 1 1 1	1 1 1 1 0
X180	0.001625098	5	0 0 0 0 1	1 1 0 1 0	0 1 1 0 1	0 1 0 0 1	0 0 0 0 0	0 1 0 0 1
X181	0.289841697	5	0 1 1 1 1	1 1 0 1 1	1 1 0 0 1	0 1 0 0 1	0 0 0 0 0	0 1 0 0 1
X182	0.898251277	5	1 0 0 0 1	1 1 0 0 1	1 1 0 1 0	0 1 0 0 1	0 1 1 1 1	1 1 0 0 1
X183	0.545311782	5	1 1 0 1 1	1 1 1 1 1	0 0 1 0 1	0 1 1 1 1	0 0 0 1 0	0 1 1 1 1
X184	0.445491193	5	0 1 1 1 0	0 0 1 0 1	1 1 1 1 1	1 1 0 0 1	0 0 1 1 1	0 1 1 1 1
X185	0.466519138	5	0 1 0 0 1	1 0 1 0 1	0 1 0 1 1	0 0 0 1 0	0 0 0 1 1	0 0 0 1 1
X186	0.79514123	5	0 1 0 1 0	1 0 1 0 1	1 0 1 1 0	1 0 0 1 1	0 1 0 1 1	1 0 0 1 1
X187	0.019002785	5	0 0 1 0 0	1 0 1 1 0	1 1 0 0 0	0 1 1 1 0	1 1 0 0 1	1 1 1 0 0
X188	0.09016441	5	1 1 0 0 0	0 0 1 0 1	1 0 0 1 1	0 0 0 0 1	0 0 1 0 0	0 0 0 0 1
X189	0.000380318	5	1 0 1 1 1	1 0 1 0 0	1 0 1 0 1	0 1 1 0 0	1 1 0 1 0	1 0 1 0 0
X190	0.054543902	5	1 0 0 1 0	1 0 1 0 0	1 0 1 1 0	1 1 0 1 0	1 0 0 1 0	1 0 0 1 0
X191	0.02978141	5	1 0 0 1 0	0 0 1 0 1	1 1 1 1 0	1 0 1 1 1	0 1 1 1 0	1 0 1 1 0
X192	0.353282801	5	1 0 1 1 1	0 1 1 1 1	1 1 1 0 1	1 0 0 1 1	0 0 1 0 0	1 0 1 1 1
X193	0.046579969	5	0 0 1 0 0	0 1 1 1 0	0 0 0 0 0	1 1 1 0 0	1 0 0 0 1	0 0 1 0 0
X194	0.855932142	5	1 1 1 0 1	0 1 0 0 0	1 0 0 1 1	0 0 1 1 0	1 0 1 0 1	1 0 1 0 1
X195	0.226351339	5	1 0 0 1 1	0 0 1 1 1	1 1 1 1 1	0 0 0 1 0	1 0 1 0 0	1 0 1 1 1
X196	0.619644706	5	0 1 0 1 0	1 0 1 1 1	0 1 1 0 0	0 1 1 0 1	0 1 0 0 0	0 1 1 0 0
